name,id
Bones,76708503-ddcd-48bf-a2dd-58260bf2db39
Madhouse,68ff5022-880b-41be-8e1e-44f68a58ad4b
Wit Studio,ea0c73c0-c771-41ca-a268-21fb3a1f2325
White Fox,9ee75f01-2aad-4bd9-a9fe-805861ea2155
Kyoto Animation,eaea217a-6918-45da-b796-cbeb3c9267f8
CoMix Wave Films,b1592862-c08c-478e-96c9-0a39a2eb9b12
Sunrise,5470e6f9-8438-44c9-8895-900ea6dee686
MAPPA,f04b8f28-6b7e-4274-ab8c-d465a54171d5
Studio Ghibli,aefafd23-0c50-4581-a6e5-24c307daa972
Toei Animation,5cde2f3d-eecf-4510-b490-50283a3d0c35
A-1 Pictures,0e0f165e-b703-424b-8e38-e938babb4b28
ufotable,d9b4de00-d697-47ef-b0dd-f066ea702379
Production I.G,5933f347-6bd5-456a-8983-808ec2dd2a95
Gainax,8a0a5406-e78b-47dd-a5b2-cd98632e0187
CloverWorks,9d85ac10-20c7-4fc6-987c-06ce102fc2c2
Kinema Citrus,db984520-4413-44f3-ac09-f552e34aa30d
Lerche,983da6a2-fd52-4100-b5bb-6e20957f7046
David Production,9f5fd65a-cc53-4da4-bb91-ec782094a059
Studio Bind,1afd2705-21c2-45ae-8f66-fe6c104c3fd7
Manglobe,12915530-c0ee-4b6f-a9e3-18fc23b4b2d2
Tatsunoko Production,26afcafc-52a5-4983-954d-143daeaa384d
Studio VOLN,47cfef1b-4b04-49bd-9316-eff97a761179
Studio Chizu,100423e3-51ec-4479-ba16-876f44d67dde
Shaft,4db93fb0-b5de-4e1b-87fb-4d6954fb01fd
Pierrot,c0940fd4-ca2b-4102-b9a2-1c2ccc35e07f
J.C.Staff,4c5029ba-5ee8-4a7d-a284-93f8df2c8335
Egg Firm,188a80fb-f280-4c44-b81f-a9f970d191f2
TMS Entertainment,d9f0f6cc-65de-40ef-8cae-45383bd37ae1
Trigger,62767bab-4219-474c-8aa3-72e0d48180c7
Doga Kobo,5a25e023-3e2a-4d11-a808-5e42bab069ac
Studio Deen,1b32c4b9-9261-4f9f-9e8c-3c9227dd9797
8bit,8e37c444-5120-404e-b83a-34543f9676fa
Satelight,d74fd119-45c9-4950-9661-48c39e8b63ca
Graphinica,67dd375d-7a82-4eff-8eae-ead3a8de2ab3
Zero-G,b9355771-8602-4c30-82a5-41670efb439f
OLM,973f9320-09f2-4051-b299-e38be4873c08
Tezuka Productions,490890f0-cab1-453b-93df-858450fd2f9c
Bandai Namco Pictures,28a89bf8-d3cb-41a2-8dc7-93a710f953d7
Artland,414e27a9-a66b-4565-8da9-3e5cde7af424
feel.,56b182ef-a5c0-40e8-959e-c7ca189956bc
Brain's Base,bc084e0a-71f9-4507-b98d-0fdc6cebbfe9
Nippon Animation,99df0a46-1c9f-40d4-b1d0-fb99770de55a
P.A. Works,c73cd998-80df-45a0-95fc-56cd0fbd56f8
Gonzo,ecc2045d-9fb4-41be-9dc4-6f6c0e6dca31
Khara,f5e64b9e-5e1b-4fe7-be44-44fe260a0e99
Tokyo Movie Shinsha,c9f65c03-2d76-4b5e-91f8-04b6c402bb82
Imagin,b731d7d4-f7a6-4b53-86fe-0097098d9242
P.I.C.S.,1c93fb4f-ea8c-4000-b59e-4511054c7739
Marvy Jack,4bf9a81c-197f-45e4-9632-86b91581a396
Nexus,20dde501-aa6e-49c6-be20-a1cb1844e754
Topcraft,3ee616a0-7c68-414d-9170-71803f53140f
Gallop,871e7e4a-1ea4-4856-8784-8a0c5818d828
Bibury Animation Studios,6efee6d6-5296-4709-8076-c48ee88c6d6d
LIDENFILMS,ecbb8430-e797-4313-96cf-9f6b51050fcc
Orange,de30c347-ab00-44db-acc6-ab18de60612d
C-Station,dfd23f7c-9155-4271-8c96-4c09ebc8de13
Studio Comet,5276a9b5-7f23-46a0-a051-e3957db1ae7a
Nut,1da59afb-ff36-458c-89eb-e6d09292dd69
Triangle Staff,86679b81-3b9f-4b58-8f7c-68ef5a6a6ca2
Seven Arcs,90f5596a-7bbd-4cf4-b95c-b0a40922a54c
LAN Studio,1d2f57cc-47a3-445d-ae96-766092323a71
Shuka,2b90adfe-379f-4f1e-95f2-332d6924a896
APPP,98626258-b08c-42e5-b2d3-a07e6615e767
Hoods Drifters Studio,2de71211-fb0c-4ce9-b710-ed7e9d7c5e50
Studio 4°C,eaaee228-ada1-43fe-9f6b-79710fb2ed82
Shin-Ei Animation,d0bd331d-eb15-4b9f-a5a5-4edacd73b4a8
Science SARU,9d507135-576e-4612-a6da-a5a4724b64dd
Pierrot Plus,bcad5771-80d1-454b-a85f-a304f0b7ac55
Pastel,14fcf5e2-98b1-4359-b7e2-dcb695ef6505
Lay-duce,b90ea073-1468-433d-88d1-f63b0a07754a
SILVER LINK.,81c07fdc-72c6-4d82-9dd0-ba6c49cb45f8
Hal Film Maker,e676cfa5-acbe-4803-bad8-301436988446
Ajia-do,28fcbad8-9626-4b54-b4d2-f0f7a7d95063
Geno Studio,72e860c1-e41a-472a-bd42-881634224f30
K-Factory,cb932577-2c11-44ea-b63e-fc7031440b64
Kitty Film Mitaka Studio,105ec496-aa89-4ff7-9194-a76363c35a79
Platinum Vision,c3104277-f1b7-4dc1-bd38-8208be6bbc1c
A.C.G.T.,6322d28a-1bc1-404d-bacd-b5b1999f7f28
B.CMAY PICTURES,024c404d-f4df-47d5-91d9-03472a11f36f
Bridge,9d5c70d5-62ac-49c4-8048-d816afd6b159
Studio Rikka,788c7042-8648-4549-9b17-878ecbcce44c
Purple Cow Studio Japan,faf3b72f-b200-47a4-8a8b-7e6096009feb
Daume,53ae1caf-ac5b-4f63-a09a-c9f2acea7d15
TROYCA,eeec85a0-1c8f-4354-8dfa-0af83306987b
Bee Train,1a3beab0-c71a-4ce7-9706-a48a4ce7bdd8
NAZ,14c369f4-fce8-4c1d-a565-9346f445d18c
Xebec,f7316e1f-9d2a-49a7-8755-4cf5aead24c7
Telecom Animation Film,253dcf96-8333-4287-a7d4-e3a28cf86800
domerica,2583e743-ed62-4fb9-bad8-dbc8ca47511b
Radix,c5ce98c8-3c01-48e1-b7d4-10f26f49e556
C2C,34ce60ea-35bb-44a2-8b0a-0ee04084c9e3
SynergySP,089410ef-26fe-46cd-817b-62fb16d6ea65
Production IMS,213b25dd-0e8f-41fe-9ad9-d904831ab83a
AtelierPontdarc,95f1273c-8b76-4eed-879b-5ff9217f50cd
Lapin Track,4321e807-7722-46bf-912c-947e0b228942
Drive,8c868091-fc78-423d-be03-301c9f56a78f
Okuruto Noboru,ab62de07-2d77-4d09-941d-a891e506e9b8
Project No.9,745cd322-26c2-4b6d-ac50-2f042e012da1
Studio Gokumi,298356fd-3c69-431f-94fd-c44243d7e950
Animation Do,0cd28245-f28b-4cb7-af15-c44407497c2e
HORNETS,e169cfa1-d274-4135-8e14-05ba6b25e50e
Square Enix Visual Works,fccd86f8-77d9-46a3-a414-d840d24d3013
Haoliners Animation League,64fb200a-b154-42be-91a0-05a7439053ef
Arms,e7d95a4d-0522-4ce5-b839-ca4457648d57
SANZIGEN,9a1b9680-2f1d-4d5b-9214-d2b1ae5703ea
AIC,932d0021-0ab3-49d6-9642-1380cb5296da
TNK,f31fff90-7f46-452c-9d63-ba59b29520ea
Actas,02e85b2d-69ec-4c35-90e6-3c5a097361b6
Trans Arts,ae4f4cc6-8b65-4811-addb-dfb19a33e611
GoHands,e93e453c-5834-4f5c-add3-2a1338efe5b7
Studio Hibari,c934d1b9-7aeb-4fdc-a6b8-42497fd5d8ef
Signal.MD,4edd2a58-ca01-49e9-b2db-a76949480d24
Colored Pencil Animation,e5ff6efb-75c2-4ceb-9209-463d467681d7
BUG FILMS,39c30570-a8f7-46ad-af8a-307ade6e6bf0
Polygon Pictures,1b79b718-f73c-4f34-acf0-9c861601c5d7
asread.,d74d8a55-9f2e-4863-ba12-c1ff8ed0f321
TYO Animations,af3443df-27b5-4404-90b5-d7b59b87735e
Studio Signpost,02cd7796-2de1-4a1a-9f72-a82fbc2ddf79
Ascension,67cfcf72-eb9f-49da-a514-99535438106f
Gaina,b6cad986-0ce2-4fba-b3bd-021175643208
studio MOTHER,dd835384-0f5c-4588-be59-6ac509491d55
Fanworks,5084a609-865a-4a29-96e7-1ecc2029b694
Oh! Production,195f416c-d2b6-4229-a41e-9fb0455c6641
AIC Spirits,46f90174-df54-43f2-ba01-10f6d7384f36
BeSTACK,95d0f94b-f3e8-4c05-b10e-3e5d62613c98
Hoods Entertainment,2d8dfd51-ae36-444c-9c8b-76b1306cf506
Geek Toys,f2fb2ea3-f5ec-49f3-9116-66f87e4b4380
Diomedéa,82c7e58a-2a88-453c-bf65-339c770942a8
Sharefun Studio,09e903ab-90d0-4d42-918b-b856289ee9ca
Zexcs,f56ff8b8-16aa-46b4-92bf-b5b1a68ad915
Studio Blanc.,d2afd7c0-743b-40be-9117-f0dc4c0e3785
Passione,9d791504-cfea-4e8e-931b-5fa2e499a279
Millepensee,b8ae0fd4-2b15-4b36-b551-faf41c408c5e
Studio 3Hz,a0449fa6-21d0-4772-875f-51253974d0d1
Nomad,c36a8a81-0250-489a-9438-bf7d50ac0f17
AIC ASTA,1b95befc-1fa0-4a51-9827-0a84c93823c4
Shirogumi,c1d8f96f-c86b-4e2e-be8b-08df8e99d583
E&G Films,d840a083-27a6-439f-b3b8-fa0cfcc8a61e
AHA Entertainment,4e36f0eb-e0df-49ac-99e7-40e56bd7ee4c
Studio PuYUKAI,e73b1f77-d5c3-4432-b7ca-3c8a45765a7e
Palm Studio,882eff86-682d-4191-a7fe-be16261e2660
Studio Palette,2d934fa1-fd3b-41f1-8ac9-857ac4557a18
Larx Entertainment,7381badb-d9f3-43d0-a99c-58e2e5da89fa
LIDENFILMS Kyoto Studio,cdf4ad2b-528b-4677-b536-2a125a063357
Studio Colorido,10c03eb2-45dc-43a4-aa79-21203a801584
CygamesPictures,592e886b-bbce-465c-b1b4-6be141dda706
AIC Build,b7753632-ef7f-4167-8a53-6a984c165dce
Connect,56549d05-bf51-4609-ab7b-8f67591d2be6
