manga_id,author_id,role
2,1868,Story & Art
2,49592,Art
13,1881,Story & Art
1706,2619,Story & Art
4632,2836,Story & Art
25,1874,Story & Art
656,1911,Story & Art
656,5760,Story
642,2034,Story & Art
90125,2139,Story & Art
116778,41158,Story & Art
1,1867,Story & Art
56805,10951,Story & Art
44347,1903,Art
44347,16993,Story
3,1867,Story & Art
21,1888,Art
21,2111,Story
35243,8260,Story & Art
121496,49667,Story
121496,49668,Art
121496,63820,Art
51,1911,Story & Art
26,1893,Story & Art
70345,7108,Story
70345,16441,Art
100448,17059,Art
100448,41857,Story
336,2318,Story & Art
16765,14715,Story & Art
23390,11705,Story & Art
78523,33911,Story & Art
104,1939,Story & Art
119161,3543,Story & Art
145863,41158,Story & Art
33327,15753,Story & Art
113138,47924,Story & Art
91941,38670,Story & Art
126146,2139,Story
126146,13173,Art
21525,2426,Story & Art
1133,3024,Story & Art
44489,16515,Story & Art
28,1894,Story & Art
114745,19049,Story
114745,33833,Art
3031,3483,Story & Art
88660,37750,Story & Art
102,1873,Story & Art
3006,2619,Story & Art
664,1872,Story & Art
60783,16993,Story & Art
42451,12332,Art
42451,16703,Story
698,3158,Story & Art
111213,47383,Story
111213,47384,Art
745,1867,Story & Art
745,1938,Story
11734,2867,Art
22,1890,Story & Art
7,1876,Story & Art
25515,2619,Story & Art
125036,51162,Story & Art
70261,30675,Story
70261,30677,Art
44,1904,Story & Art
89357,12006,Art
89357,18215,Story
30,1895,Story & Art
42,1901,Story & Art
107931,40163,Story & Art
610,2536,Story & Art
7519,6203,Story & Art
105084,21071,Story & Art
8967,3906,Art
8967,5854,Story
7375,5215,Story & Art
9711,1888,Art
9711,2111,Story
2921,3446,Story & Art
8586,1962,Art
8586,11344,Story
145,1976,Story & Art
122663,49934,Story & Art
3866,3768,Story & Art
37707,12781,Story & Art
24692,6644,Story & Art
8157,3695,Story & Art
72467,8886,Story & Art
743,1867,Story & Art
87609,18181,Art
87609,37295,Story
138673,41158,Story & Art
43,1902,Story
43,1903,Art
85968,34371,Story & Art
126287,23829,Story
126287,51216,Art
401,2377,Story & Art
22651,1962,Art
22651,11344,Story
74697,32649,Story
74697,32651,Art
657,1911,Story & Art
583,2517,Story & Art
55215,23549,Story
55215,23551,Art
81669,24221,Story
81669,34715,Art
35573,6973,Story & Art
40171,18197,Story
40171,19844,Art
132214,53209,Story
132214,53210,Art
1224,2891,Story & Art
89087,37903,Story & Art
56529,24379,Story
56529,24381,Art
81117,15753,Story & Art
418,2394,Story & Art
3285,6748,Story & Art
936,2751,Story & Art
39325,2362,Story & Art
3009,2619,Story & Art
4,1869,Story & Art
112318,23771,Story & Art
48621,10951,Story & Art
96792,40398,Story & Art
79085,21915,Story & Art
1303,4017,Story
1303,6217,Art
99314,1117,Story
99314,12086,Art
46282,3906,Story & Art
24,1892,Story & Art
39883,3152,Story & Art
651,1870,Story & Art
14790,2703,Story & Art
14893,5254,Story
14893,8594,Art
10,1877,Story & Art
106,1877,Story & Art
5255,3218,Story & Art
768,2602,Story & Art
104538,2898,Art
104538,44281,Story
9115,3595,Story
9115,7456,Art
97244,3154,Story & Art
267,2251,Story & Art
33031,5606,Story & Art
149,2000,Story & Art
100035,33377,Story & Art
29211,3624,Story & Art
60553,19197,Art
60553,26303,Story
62795,12205,Story
62795,17857,Art
3378,3267,Story & Art
103701,43264,Story & Art
9,1877,Story & Art
121269,49714,Story
121269,49715,Art
102343,10951,Story & Art
24705,6579,Story & Art
103237,43112,Story & Art
103897,1902,Story
103897,3537,Art
38071,6386,Story & Art
1649,2656,Story & Art
100128,30777,Art
100128,41738,Story
11514,2575,Story & Art
31,1896,Story & Art
85,1939,Story & Art
436,2410,Story & Art
3731,2836,Story & Art
756,2082,Story & Art
123992,12006,Art
123992,18215,Story
658,2843,Story & Art
124845,47383,Story
124845,47384,Art
93516,16477,Story & Art
36413,16607,Story & Art
3008,2619,Story & Art
135496,54004,Story & Art
61189,25045,Story & Art
14236,9633,Story & Art
1061,2804,Story & Art
10552,6386,Story & Art
30079,14019,Story & Art
99007,39281,Story & Art
27231,12254,Story & Art
26736,5632,Story & Art
104241,35349,Story & Art
838,2517,Story & Art
11054,1867,Story & Art
11054,17205,Story
24294,4142,Story & Art
93753,3483,Story & Art
30315,12805,Story & Art
13245,2293,Story & Art
320,2306,Story & Art
87610,37294,Art
87610,37295,Story
48399,4212,Story & Art
72025,25033,Art
72025,31905,Story
45143,4429,Story & Art
1630,2619,Story & Art
119022,12837,Art
119022,49152,Story
10010,7375,Story & Art
29,1894,Story & Art
141120,51162,Story & Art
91514,37822,Story & Art
9699,5583,Story & Art
3083,2913,Story
3083,2914,Art
47,1907,Story & Art
6520,4625,Story & Art
53,1893,Story & Art
75989,9834,Story & Art
564,2718,Story & Art
112589,5074,Story & Art
3299,2665,Art
3299,3595,Story
1859,3206,Story & Art
11,1879,Story & Art
11327,2656,Story & Art
119072,50320,Story & Art
70259,10353,Art
70259,30675,Story
93972,38493,Story & Art
112922,47909,Story & Art
144267,56778,Story & Art
58027,26199,Story & Art
4571,4079,Story & Art
908,5059,Story & Art
85781,22171,Story & Art
57,1916,Story & Art
110485,10563,Story
110485,22491,Story
110485,47050,Art
7458,1888,Art
7458,5254,Story
13702,8512,Story & Art
443,2329,Story & Art
102256,3467,Story & Art
102256,20909,Story
92,1946,Story & Art
107562,25969,Story
107562,45507,Art
107562,45508,Story
25096,1874,Story & Art
872,2619,Story & Art
115710,47924,Story & Art
24308,7008,Story
24308,13689,Art
58007,25201,Art
58007,25203,Story
88639,37744,Story & Art
17051,9848,Story & Art
28393,8494,Story & Art
11652,6854,Story & Art
29983,13989,Story
29983,13991,Art
481,2034,Story & Art
869,2657,Story & Art
81,1937,Story & Art
104039,18819,Art
104039,43583,Story
101396,42156,Story & Art
735,2578,Story & Art
3403,3636,Story & Art
15805,8576,Story & Art
121480,33067,Story & Art
113010,1932,Art
113010,5254,Story
9296,4545,Art
9296,5975,Story
87844,25249,Story & Art
463,2428,Art
463,2429,Story
1414,2994,Story & Art
988,2584,Story & Art
48347,22027,Story & Art
8144,2359,Story & Art
58141,9859,Story & Art
112115,47663,Story
112115,47664,Art
35003,3703,Story & Art
99969,41713,Story & Art
10573,1918,Story & Art
1802,2571,Story & Art
1101,2666,Story
1101,7189,Art
591,2522,Story & Art
134744,54046,Story
134744,54047,Art
121213,6178,Story & Art
114043,48532,Story & Art
3082,3504,Story & Art
705,2582,Story
705,3250,Story
705,4843,Story & Art
6164,2867,Story & Art
20,1888,Art
20,1889,Story
18200,5583,Story & Art
78537,24373,Story & Art
731,3772,Story & Art
17904,4186,Story & Art
928,2755,Story
928,2756,Art
928,21273,Art
126479,41857,Story
92299,1868,Story & Art
112268,10350,Story & Art
58563,5215,Story & Art
12854,5389,Story
12854,6795,Art
40761,5067,Story
40761,18047,Art
28449,6257,Story & Art
3102,3182,Story & Art
348,2333,Story & Art
14483,7969,Story & Art
419,2395,Story & Art
70801,2836,Story & Art
18792,4545,Story & Art
110031,2521,Story & Art
95012,39805,Art
95012,39806,Story
736,2049,Story
736,2202,Art
26769,13146,Story & Art
14720,3240,Story & Art
18,1884,Story & Art
3649,4054,Art
3649,10308,Story
17,1885,Story & Art
1183,2104,Story & Art
37755,9030,Story & Art
104271,6579,Story & Art
7482,1985,Story
7482,4908,Art
765,1918,Story & Art
119392,50297,Story & Art
77637,33649,Story & Art
3986,2887,Story & Art
3986,2888,Story & Art
102165,4766,Story & Art
24457,9496,Story
24457,12433,Art
25409,12338,Story
25409,14799,Art
117840,46894,Story & Art
100323,12823,Story
100323,19551,Art
49865,21989,Story & Art
49865,21991,Story
17465,1931,Art
17465,10363,Story
115730,22323,Story & Art
108187,46058,Story & Art
103942,5811,Story & Art
1149,2847,Art
1149,2848,Story
118646,49613,Story
118646,49656,Art
96044,13851,Story & Art
55163,6333,Story
55163,19447,Art
1474,2992,Story & Art
7776,5389,Story
7776,8543,Art
103851,36688,Story & Art
24903,12247,Story & Art
84255,36149,Story & Art
45757,11085,Art
45757,19791,Story
45757,29361,Story
128,1959,Story & Art
131334,52773,Story & Art
79,1936,Story & Art
3438,3048,Story & Art
704,3098,Story & Art
7378,4142,Story & Art
104565,10463,Story & Art
121504,13521,Story & Art
3633,3218,Story & Art
14531,2318,Story & Art
8,1878,Story & Art
338,2321,Story & Art
23,1891,Story & Art
633,2554,Story & Art
