name,id
Action,45ef2676-4db0-4baa-9a1c-120f519a00da
Adventure,c21448cf-c312-4520-b828-b18aceca32be
Award Winning,2c8ff7f2-0275-4bf7-af93-e7a61f98c0c0
Drama,174aa005-9fb0-4f9b-8b57-e027496743f3
Fantasy,af78d73d-634a-498c-9526-d43087bcffa4
Horror,beb193bc-231a-46d9-aabb-318f09df5ed9
Supernatural,8c58f135-43e7-497e-a17a-213064565949
Mystery,1216cf5d-ee06-40c9-a559-099ccc5e31d8
Slice of Life,1356944e-f459-429e-ba56-c372d830d05e
Comedy,4f79bba6-e527-4667-8cb2-32fdd6ea560d
Sci-Fi,0e784dec-bd10-49e4-9bbb-237d3868bc03
Suspense,4b4983ed-4926-4b80-a3fc-17be71147095
Sports,df5e43b5-17f1-473e-861a-77f0cd2c478f
Ecchi,d60c45d5-0953-4368-b4ed-032bff2d2a46
Romance,2dc07120-b347-493f-9196-7317410d04ba
Girls Love,375566a8-e426-4086-bb9b-5ce89fc77161
Boys Love,931467c6-24ec-44ed-99fd-01dd7f84fc90
Gourmet,c45a21ff-c8b2-48de-bffb-bc6c52de5961
Erotica,ee5f225d-bee1-403b-963c-d724c27a0227
Hentai,b0a0ef12-93ef-40cc-9cba-c196d2433e57
Avant Garde,43a2b845-e8d8-4876-8fd9-ad879bb20a78
